title,category,datetime_string,text 
NRA Publishes Tips For Staying Safe While Committing A Mass Shooting,News in Brief,2018-11-13T14:55:00-06:00,"FAIRFAX, VA—Citing its longtime commitment to the promotion of safety among firearm enthusiasts, the National Rifle Association published a series of pointers Tuesday on how to keep safe while carrying out a mass shooting. “Every gun owner should know the NRA’s fundamental safety rules so they can avoid being tackled or disarmed in the middle of their deadly spree,” said spokesperson Dana Loesch, explaining that guns should always be loaded, held with a finger on the trigger, and pointed in the direction of anyone trying to stop a shooter from unleashing carnage at a shopping mall, house of worship, of former place of employment. “Before you go spraying bullets from an AR-15 into the crowd at a concert, make sure you familiarize yourself with the venue’s entrances and exits, chaining them shut if possible. Also identify restrooms or stairwells where you can barricade yourself and reload before reemerging to make your final stand against law enforcement.” Loesch added a reminder to stretch before mass shootings to avoid pulling a hamstring or twisting an ankle while exercising one’s Second Amendment rights."
"Nation’s Tourists Announce Plans To Form Circle, Clap Hands Around Guys Doing Flips And Stuff",News in Brief,2018-11-14T11:57:00-06:00,"NEW YORK—Excitedly gathering for a good view, the nation’s tourists announced plans Wednesday to form a wide circle around a group of guys who were doing a bunch of flips and stuff. “We’re absolutely thrilled to stand here and clap our hands along with that guy cradling a boombox, cheering them on as they spin around and do backflips over things,” said a spokesperson for the nation’s tourists, adding that they looked forward to nodding their heads along to the sound of bucket drumming. “Furthermore, we will repeat this process in every city we visit, capturing all the crazy dance moves on our phones to later post on social media with a caption that says something like ‘Only in NYC.’ This also extends to the silver-painted man who is standing completely still, who we’ll approach individually until we’re startled by his sudden, rigid movements.” The tourists concluded their statement by revealing plans to disperse the circle and flee the scene right when the guys began passing around the donation hat. "
Boyfriend’s Snack 200% Of Woman’s Daily Caloric Intake,News In Photos,2018-11-15T11:55:00-06:00,Advertisement
Trump Delivers Touching Tribute To Fallen Heroes Of WWE,News in Brief,2018-11-13T11:37:00-06:00,"WASHINGTON—Praising them in a memorial ceremony for all the sacrifices they had made, President Donald Trump reportedly delivered a touching tribute Tuesday to the fallen heroes of WWE. “Let us never forget how WWE continues to affect all of us, and how these brave men dedicated their lives to wrestling for their country,” said Trump in a 15-minute speech that touched on the entire history of WWE, from the powerful rise of Vince McMahon to some of its most important conflicts, including the hard-fought battles of WrestleMania X, the brutal 2002 Survivor Series, and Hulk Hogan’s pivotal 1984 victory over the Iron Sheik. “As it became clear long ago that we as a nation would need to enter the WWE ring, when we needed them most, these heroes answered the bell. They endured chokeslams, flying elbows, and piledrivers, and many of them courageously laid the smackdown to protect the freedoms of this great nation. From the violent days of Attitude Era to today’s comparative peace, our nation’s courageous fighters served admirably in WWE, and today we salute them.” Trump concluded the tribute by gently placing a ceremonial championship belt at the Tomb Of The Parts Unknown Wrestler."
Woman Confident She Has The Safety Net It Takes To Achieve Dreams,News in Brief,2018-11-12T17:18:00-06:00,"LOS ANGELES—Citing her can-do spirit, belief in her own talents, and considerable trust fund, aspiring screenwriter and playwright Dasha Rothwell confirmed Monday that she was confident she had the safety net it would take to achieve her dreams. “I truly feel I have what it takes to pursue my creative and personal goals here in a big city. Even if it means pounding the pavement in my Lexus hybrid, only dining out five or six times a week, and forking out that much more for rent each month, I’ll just buckle down, grit my teeth, and ask my parents for the extra cash,” said Rothwell, 24, stressing that she’s not afraid of failure or having to start back at square one, as she would suffer no financial or material repercussions whatsoever in doing so. “Look, I know that there are huge risks involved in dropping everything to chase your dreams, but I’m more willing to go out on that ledge than most people, because I have faith in my dream and in the financial advisors who are ready to cushion my fall.” At press time, the rejection of her script by two studios had forced Rockwell to consider a return home in disgrace to New York, where she would put aside her dreams and help run her family’s multi-million-dollar investment firm."
Family Figures Grandpa Never Talks About WWII Because Nothing Interesting Happened To Him,News in Brief,2018-11-12T14:07:00-06:00,"ATHENS, OH—Responding to their grandfather’s longtime silence on the subject, the family of World War II veteran Thomas Withers told reporters Monday that they figured the reason he never talked about serving was probably because nothing interesting happened to him. “Grandpa never discusses being stationed in Normandy, and he always gets really quiet whenever the subject comes up, so he must have spent the whole time puttering around Europe and just kind of hanging out,” said granddaughter Elise Phippen, who attributed the sad, distant look that appeared in her maternal grandfather’s eye on the anniversary of D-Day to regrets that he didn’t have even a single cool story to share about being a G.I. “I looked up his platoon, and I know they saw a fair amount of action, but I guess Grandpa was just doing clerical work the whole time or maybe he was working as a cook or something, because he’s never so much as mentioned any of it.” Phippen went on to theorize that Withers’ habit of bolting awake in the middle of the night was likely a side effect of the sheer boredom he experienced doing nothing but sitting in a room playing cards for four years."
FEMA Assures Wildfire Victims Bucket Brigade Nearly Over Maryland State Line,News in Brief,2018-11-12T13:51:00-06:00,"WASHINGTON—Confirming that the federal government was taking swift action to help those suffering in California, FEMA officials assured wildfire victims Monday that a bucket brigade is nearly over the Maryland state line. “The FEMA emergency response team is currently standing shoulder to shoulder in a line stretching from the Potomac up through Hagerstown and west almost all the way to Cumberland passing forward buckets of water en route to the Pacific coast,” said Federal Emergency Management Agency administrator Brock Long, who refused to acknowledge rumors that workers do not have enough buckets and that the buckets provided are riddled with holes or missing handles. “We are facing major logistical concerns, including how we plan to cross the Mississippi River and whether we can pass through the Rockies without spilling a bunch. Water buckets should be there by early February, so I urge everyone affected by the blaze to hang tight. In the meantime, we recommend blowing really hard to extinguish the blaze, much like you would a birthday candle.” At press time, FEMA had halted bucket brigade operations after failing to find enough rescue volunteers willing to stand around Nebraska."
"Stan Lee, Creator Of Beloved Marvel Character Stan Lee, Dead At 95",News In Photos,2018-11-12T13:41:00-06:00,Advertisement
Poll Finds Voters Don’t Support Impeaching Trump,American Voices,2018-11-13T14:03:00-06:00,"A new poll reveals support for Democrats impeaching Trump is tepid, with half of voters saying they oppose the possibility and only 31 percent supporting it. What do you think?"
3 More States Vote To Legalize Marijuana,American Voices,2018-11-12T17:37:00-06:00,"Voters in Michigan passed a measure Tuesday legalizing pot sales, while Utah and Missouri added themselves to the growing roster of 33 states where medical marijuana is legal. What do you think?"
Study Finds Only 20% Of Seminary Graduates Go On To Become God,News in Brief,2018-11-12T14:29:00-06:00,"SOUTH BEND, IN—Noting that students felt increasingly ambivalent about assuming celestial roles, researchers at the University of Notre Dame published a study Monday that revealed only 20 percent of seminary school graduates go on to become God. “Most students decide right before the graduation ceremony that they don’t actually want to be an omniscient being. Indeed, there are only a select few who can handle the pressure of devoting one’s entire life, and the entirety of time’s existence, to being an all-powerful deity,” said lead researcher Gary Anderson, who noted several factors that contribute to students quitting the journey to Godhood, including cost-prohibitive internships, an inequitable gender breakdown, and the comparatively difficult job market for Supreme Beings. “In many cases, schools would try to entice students by claiming they’d be an all-knowing deity right after college, but graduates soon discover much harsher realities. Even those who do go on to be the ruler and commander of the heavens and earth typically spend a few millenium toiling in underpaid apprenticeship roles.” In a related report, researchers found only 20 percent of philosophy PhD candidates go onto to become Socrates."
"‘He’s Not Right For You,’ Report Relationship Experts Who Must Not Want To See You Be Happy ",News in Brief,2018-11-13T10:52:00-06:00,"STANFORD, CA—Based on a compilation of data revealing their jealousy and negativity loud and clear, relationship experts confirmed Tuesday that “He’s not right for you,” because they must not want to see you happy. “Our extensive study shows that you might be better off with someone else,” read a summary of the researchers’ findings, which shed light on their insistence on projecting their own relationship issues and personal insecurities onto your own perfectly healthy love life in a pathetic attempt to introduce some excitement into their own dull existences, despite the fact that they barely even know him. “Listen, he’s not a bad guy—we just feel like you two aren’t necessarily compatible in the long run, and no one wants to see you get hurt.” At press time, the experts had decided to go ahead and fully stab you in the back with their suggestion that it might be “a good idea for you to just be single for a while.”"
Kid Diving Into Pile Of Leaves Has No Idea There Homeless Guy Jerking Off In There,News In Photos,2018-11-12T11:38:00-06:00,Advertisement
"Your Horoscopes — Week Of November 13, 2018",Horoscopes,2018-11-13T08:00:00-06:00,Your belief that “there’s no room for second place” creates friction between you and your spouse when you are blessed with twins but disagree over which one to keep.
5 Things To Know About ‘Fantastic Beasts: The Crimes Of Grindelwald’,,,
"Emmanuel Macron Calls For ‘True European Army’ Against U.S., Chinese Threats",American Voices,2018-11-12T17:04:00-06:00,"Stressing that Europe could no longer depend on the U.S. for protection, French president Emmanuel Macron called for a trans-European army amongst EU member states. What do you think?"
Hillary Launches Campaign To Raise $100 Million Or Else She’ll Run For President,News in Brief,2018-11-13T13:53:00-06:00,"CHAPPAQUA, NY—In a press conference announcing her plans for the 2020 election, Hillary Clinton told reporters she is launching a campaign Tuesday that will raise $100 million by the end of the year or else she will run for president. “I’m very excited to roll out my initiative to secure this full amount within seven weeks, and if it is not successful—let me be very clear on this—I will once more fill out the paperwork to run for president and submit it to the Federal Election Commission,” said Clinton, who stressed that she was “absolutely serious” about her new A Hundred Million Or Me campaign, describing the town halls and candidate meet-and-greets she would soon begin holding in Iowa and New Hampshire if donors came up even a penny short. “What I’m asking you to do is picture—and picture very vividly—the following things: Lawns plastered with ‘I’m With Her In 2020’ signs, continuous television ads showcasing my strenuous attempts to appear enthusiastic, entire news cycles once more given over to my use of a private email server as secretary of state. That’s one possibility. The other is you give me $100 million. Up to you.” At press time, sources confirmed Clinton had raised $17.6 billion in the first 45 seconds of the campaign."
Trump Hacks Through Thick Central American Jungle In Search Of Entirely New Ethnic Group To Demonize,News in Brief,2018-11-12T11:47:00-06:00,"TALAMANCAN MONTANE FORESTS, COSTA RICA—Venturing deep into rainforest no outsider has dared explore, President Trump slashed through the thick vines of a Central American jungle Monday in search of a previously unknown ethnic group to vilify. “Legend has it that this land is home to a lost race of people living in complete isolation, and if I can manage to find them, I will be able to stereotype them in any way I choose,” said the machete-wielding commander in chief who was wearing a tan field jacket as he led a group of loyal Republican allies through the oppressively hot and humid thicket in search of the mythic tribe. “This discovery could change everything. These people remain entirely untouched by any media coverage whatsoever, so I can easily stick them with the blame for our nation’s drug problems, violent crime, stagnant wage growth, you name it.” Upon sighting the uncontacted tribe, Trump’s reelection team reportedly took grainy black-and-white videos of them for immediate use in menacing campaign ads."
45-Year-Old Loser Moves In With Parents,News In Photos,2018-11-13T09:46:00-06:00,Advertisement
Political Ad Spending Hit New Record In 2018 Midterms,American Voices,2018-11-13T11:01:00-06:00,More money was spent in the 2018 election cycle than any previous midterm cycle. What do you think?
Surgeon General Confirms A Bit Of Blow Here And There Won’t Kill Ya,News in Brief,2018-11-13T12:01:00-06:00,"WASHINGTON—In a statement marking a reversal of opinion on a previously maligned narcotic stimulant, United States surgeon general Dr. Jerome Adams confirmed Tuesday that occasionally indulging in a bit of blow here and there would not, in fact, kill you. “While it should go without saying that the surgeon general’s office strongly advises against habitual cocaine use—I mean, c’mon, who are we kidding here, no one wants to be the coke guy, we hate that guy—but the truth of the matter is, if we’re being honest, really, there’s no harm in a little bump when the night starts dragging a little, just to get things rolling again, find your groove, you know, just don’t make your whole weekend about the chop and you’ll be fine,” said Adams during a press conference originally held to discuss the future of municipal public health in small cities. “You definitely have to make sure you’re spacing that stuff out. A nice thin rail, dance to four or five songs, chill a bit, get some tapas, another rail, no harm done, right? Right. Cool. Cool Cool. And please don’t drink too much, either, that’s pissing into the wind. If you’re gonna be mixing it with scotch, you might as well just sneeze a hundred bucks into a Kleenex.” Adams further stated that the music has to be right, that there is no shame in going home early if everyone is making you twitchy, and that you and he should really open up a restaurant together."
Friends Excitedly Gather Around Man’s Phone To Watch Shaky Footage Of Concert,News in Brief,2018-11-12T12:47:00-06:00,"CHICAGO—Exclaiming and pushing past each other as they jockeyed for a clear view of the screen, friends of local man Carl Michaels excitedly gathered around his phone Monday to watch the shaky footage he had recorded of a recent Mt. Joy concert. “Whoa, the audio is so distorted that you can barely even make out what song they’re playing—this fucking rocks,” said friend Brett Osnos of the blurry seven-second video, stressing how cool it was to hear a tinny, near-unlistenable stretch of the song’s bridge that was punctuated by a drunk woman screaming in the background. “That one part is killer where the light show gets so bright that the image turns completely pixelated and blown out. And it’s so sweet how you can barely see the band on the stage because most of the picture is taken up by a bunch of heads and people holding up their phones. Seriously, you’re a fucking god for scoring this.” At press time, numerous friends were frantically offering to pay Michaels upwards of $100 for the privilege of acquiring the “completely legendary footage” for their own phones."
Steve King Vehemently Denies Comparing Immigrants To People,News in Brief,2018-11-13T14:12:00-06:00,"WASHINGTON—Challenging any insinuation that he would ever say anything of the kind, Representative Steve King (R-IA) vehemently denied Tuesday comparing immigrants to people. “I would never, under any circumstances, say something so despicable,” said King, who was recently elected to his ninth congressional term, adding that any accusations of him claiming migrants were human beings with rights, emotions, and cognitive development were completely false and crossed a line. “Everyone who knows me knows that I’ve never believed that immigrants are people, and any suggestion otherwise is utterly baseless. It makes me sick to think that the media is trying to smear me by spreading lies that I think any immigrant or refugee should be considered a person who in any way deserves basic respect or legal protections. Don’t you dare associate me with any monster who thinks that way.” At press time, King was vigorously denying claims that he had made the comment “I want to respect all people” by declaring there wasn’t a moral bone in his body. "
Record Number Of Women To Take Seats In Congress,American Voices,2018-11-09T15:11:00-06:00,"More than 100 women will take seats in the House of Representatives next year, a high watermark for nationwide representation. What do you think?"
Should Dunkin’ Donuts End Its Promotion With The NFL That Gives Fans One Free Medium Coffee For Every First Down?,,,
Unattractive Man Not Fooling Anyone By Dressing Well,News In Photos,2018-11-12T10:54:00-06:00,Advertisement
"City Officials Warn Against Flushing Feminine Hygiene Products After Finding 8-Foot-Long, 250-Pound Tampon Lurking In Sewers",News in Brief,2018-11-09T13:50:00-06:00,"NEW YORK CITY—Emphasizing that the discovery had put the residents of New York in grave danger, officials warned Friday against flushing feminine hygiene products after discovering an 8-foot-long, 250-pound tampon lurking in the sewers. “While the tampon may have started out just a few inches long at first, its super-absorbent strength allowed it to grow to a colossal size, decimating everything in its path,” said sanitation department spokesperson Hannah Ling, adding that although the cotton products may initially seem small and harmless, they can expand up to 10,000 times their original weight after being flushed down the toilet and then inhabit sewers for years. “In this particular case, the tampon proved extremely hazardous and actually ended up injuring several sanitation workers when it crushed them with its enormous mass. So remember, if you have a tampon, please dispose of it properly and safely by finding a trash can, rather than creating an environmental disaster.” Ling also confirmed the gargantuan tampon is responsible for the deaths of 15 cats and dogs that were reported missing last week."
Buy Partisan,Editorial Cartoon,2018-11-09T17:22:00-06:00,Advertisement
He Was The Darling Of The Festival Circuit. He Dominated Awards Season. He Had One Of The Biggest Production Companies In The World. Why One Man Decided To Walk Away From It All,Sunday Magazine,2018-11-09T10:17:00-06:00,Advertisement
Michelle Obama Admits Barack Had Way Too Much Sperm To Make Natural Conception Possible,News In Photos,2018-11-09T12:22:00-06:00,
"Study Finds Mediterranean Diet Adds Years To Your Life, But Only By Taking Them Away From Others",News in Brief,2018-11-09T11:58:00-06:00,"SOUTH KINGSTOWN, RI—Researchers at the University of Rhode Island published a study Friday revealing that the Mediterranean diet can, in fact, add years to one’s life, but only by taking them away from others. “Our study confirms that a diet rich in foods such as olive oil, fish, and green vegetables can extend one’s lifespan by several years, as long as a life-expectancy equilibrium is maintained through reducing another person’s life by an equal amount of time,” said head researcher Mara Haugen, hypothesizing that the phenomenon could possibly be attributed to the complex but lesser-known vampiric properties of omega-3 fatty acids. “We’ve found that people who adhere to the Mediterranean diet tend to feel more energized during the day and sleep more peacefully at night, feeding as they do off the waning life force of another human being, who withers and becomes sickly in turn. This is a huge breakthrough in the field of nutrition, and we highly recommend people adopt the lifestyle before they fall victim to it.” Haugen went on to speculate that, if a person was fully committed to the Mediterranean diet, it may be possible for them to draw enough life force from the Earth’s population to achieve immortality."
Tips For Ending A Friendship,Infographic,2018-11-09T11:41:00-06:00,"Just like any relationship, friendships can reach a point where they’re not beneficial to both participants, but ending one gracefully can be complicated. The Onion offers the best tips for ending a friendship."
"The Week In Pictures – Week Of November 12, 2018",Slideshow,2018-11-12T08:00:00-06:00,Advertisement
Chris Collins Thanks Supporters With Can't-Miss Tip On Biotech Stock,News In Photos,2018-11-08T16:44:00-06:00,Advertisement
"Trump Says He Hopes To Work With Democrats On Infrastructure, Drug Pricing",American Voices,2018-11-09T09:40:00-06:00,"In a Wednesday press conference, President Trump said that he hopes to work together with the newly victorious House Democrats on issues ranging from infrastructure to drug pricing. What do you think?"
Mueller Annoyed By Dipshit Protestors Holding Up Traffic During Commute,News in Brief,2018-11-08T17:05:00-06:00,"WASHINGTON—Laying on his horn while stuck in bumper-to-bumper gridlock, an annoyed special counsel Robert Mueller reportedly screamed at “dipshit protestors” from his car Thursday as a MoveOn rally held up traffic during his nightly commute. “Get a move on, assholes! Some of us have actual paying jobs and want to get home to our families after a long day at the office,” shouted the frustrated former FBI director, rolling down his window and berating the thousands of protestors to “shut the fuck up already” so he could “get out of this goddamn city.” “Seriously, don’t any of you people have jobs? It’s 5 p.m. on a Thursday. And hello? What happened to using sidewalks or speaking in a reasonable tone? Jesus, this shit should be illegal.” At press time, Mueller had reportedly been arrested for beating a protestor unconscious after the demonstrator kicked a dent into the side of his car."
Royal Baby Watch! Harry And Meghan Just Carved A Hole In The Side Of The PODS Container Where They Live Through Which Meghan Will Give Birth,News,2018-11-08T11:05:00-05:00,"Less than a month has passed since Prince Harry and Meghan Markle announced that they are expecting their first baby, but that hasn’t stopped the soon-to-be parents from making arrangements for the day their newborn arrives. As expected, the latest royal couple is about to enter the next phase of their lives together in utterly flawless fashion: Harry and Meghan just carved a hole in the side of the PODS container where they live through which Meghan will give birth!"
Red Sox Take Out Full-Page Ad In ‘New York Times’ Reminding City They Won World Series,Photo Finish,2018-11-08T16:38:00-06:00,Advertisement
Is Cindy Gruden Worth More Than The 7th-Round Pick Jon Gruden Traded Her For?,,,
Reddi-Wip Casually Announces Their Nozzles Can Easily Fit Into Most Orifices,News in Brief,2018-11-09T14:54:00-06:00,"CHICAGO—In a matter-of-fact press release addressed to “consumers who might be interested in this sort of thing,” ConAgra Foods informally announced Friday that their Reddi-Wip nozzles can easily fit into most orifices on the human body. “Since our founding in 1948, we’ve been committed to providing Americans with high-quality and affordable whipped dessert toppings. And, oh, by the way, not sure we’ve ever mentioned this, but you know that tapered spout slides nicely into your asshole, right?” the press release, issued without fanfare and with no apparent occasion attached, read in part. The product briefing also said that “just as a heads up,” careful Reddi-Wip enthusiasts would encounter no difficulty in taking a can from their original, chocolate, or non-dairy flavor lines and inserting the tip into their vagina. “I’m not sure if we’ve mentioned before how easy it is to work one of these things up a nostril or into an ear canal. Mind you, we’re not here to say there’s anything wrong with just sliding Reddi-Wip between your toes, but would Reddi-Wip stop you from taking that extra step into the creamy, delicious unknown? Never. And just in case you wanted to know—lightly massaging, you know, yourself with Reddi-Wip while rotating the can ever so slightly creates a sensation so unbelievably euphoric that you won’t want to self-pleasure any other way again. Feel free to do what you want with this information.” ConAgra Foods was later forced to issue a press release specifically defining the orifices in which their product does not fit upon learning that 130,000 consumers had been hospitalized with urethral contusions."
Astronomers Confirm Moon Will Have Dozens Of New Phases In 2019,News in Brief,2018-11-09T11:30:00-06:00,"HOUSTON, TX—Predicting that the upcoming lunar looks would delight stargazers all over the world, astronomers confirmed Friday that the moon will have dozens of new phases in 2019. “We are excited to announce that as of next year, the moon will add several new and exciting shapes to its usual crescent-shaped phases,” said Lisbeth Garcia, a NASA astronomer at the Johnson Space Center, adding that after millions of years of waiting, humanity would finally get to experience an entire host of stylish variations that include houndstooth, plaid, and imperial trellis. “We’ve confirmed that there will also be one with a really pretty scalloped edge, one with a big hole in the middle, and one that’s a four-leaf clover—not to mention a whole series of seasonal versions that will begin appearing in late fall that year. Be sure to grab your telescopes, because the Halloween and Christmas phases are going to be incredible!” At press time, Garcia added that they had not yet confirmed how the moon’s new shapes would affect the tides."
Ecologists Discover 400 Species Of Charles Darwin Living In Galápagos Islands,News,2018-11-12T10:30:00-06:00,"PUERTO BAQUERIZO MORENO, ECUADOR—Describing an astounding variety of naturalists previously unknown to science, a team of ecologists from Stanford University announced Friday the discovery of more than 400 species of Charles Darwin living in the Galápagos Islands."
Georgia GOP Demands Stacey Abrams Step Down As Candidate To Avoid Conflict Of Interest,News in Brief,2018-11-09T13:09:00-06:00,"ATLANTA—As votes continued to be counted to determine the outcome of the controversial Georgia governor’s race, the state’s GOP officials reportedly demanded on Friday that Stacey Abrams step down as the Democratic candidate to avoid a conflict of interest. “It’s clear that the integrity of this important election will be violated if Ms. Abrams remains in her obviously biased post as the Democratic candidate for governor,” said Ryan Mahoney, aide to the Brian Kemp campaign, adding that Kemp had resigned as Georgia’s secretary of state two days after the election in order to avoid the appearance of partisanship and that it was only fair that Abrams recuse herself from her post as well. “Ms. Abrams already displayed her appalling bias by appearing on the ballot as a Democrat in the first place, but stepping down as the candidate now would still allow the election to be decided fairly. We urge her not to indulge in blatant partisan behavior by manipulating the system so that all the votes are counted, and to do the honorable thing by giving up her candidacy.” Georgia GOP officials added that residents could avoid abetting Abrams’ compromised position by not voting for her in a runoff election. "
Frustrated Nursing Student Unable To Draw Blood Without Draining Entire Body,News In Photos,2018-11-08T12:33:00-06:00,Advertisement
Jeff Sessions Forced Out As Attorney General,American Voices,2018-11-08T15:39:00-06:00,"President Trump forced Attorney General Jeff Sessions to resign, replacing him with a loyalist who could endanger the independence of the special counsel investigation. What do you think?"
Mueller Wondering Why There All This Drama Over Trump’s Unpaid Parking Violations,News in Brief,2018-11-08T12:24:00-06:00,"WASHINGTON—Expressing confusion as to why everyone was getting so worked up, special counsel Robert Mueller was reportedly wondering Thursday why there was all this drama over Donald Trump’s unpaid parking violations. “I mean, sure, he got some parking tickets, and he really should pay the fines, but it feels like people are freaking out for no reason,” said Mueller, acknowledging that while his investigation into the president had turned up multiple parking violations, including several times when the president had overstayed a parking meter and even a decades-old instance when he left his car in a handicapped zone, it was nothing to foment national mass protests against. “Obviously, it’s not ideal for a sitting president to have outstanding parking fines, but a lot of these are just BS street cleaning things, and honestly, he’s probably not even guilty of some of them. I don’t understand why he’s so resistant to talking to me about, what, maybe a few hundred bucks at most? Now his kids are being brought into it, and I even had to talk to his campaign manager just to make sure it was his vehicle. This whole thing is making a mountain out of a molehill.” Mueller added that he would be happy to cut the amount President Trump owes in half just to get the whole thing over with."
Sarah Huckabee Sanders Denies Doctoring Footage Showing Jim Acosta In Clown Makeup Blowing Up Gotham Hospital,News in Brief,2018-11-08T12:15:00-06:00,"WASHINGTON—Responding to criticism that she had engaged in misleading behavior, White House press secretary Sarah Huckabee Sanders issued a flat denial Thursday that she had shared doctored footage portraying CNN reporter Jim Acosta in clown makeup blowing up Gotham Hospital. “President Trump expects and even demands difficult questions from journalists, but for Acosta to infiltrate a hospital dressed as a nurse in order to plant explosives is simply beyond the pale,” said Sanders of the clip, which shows the White House correspondent standing outside pressing a remote detonator several times as a hospital explodes in the background. “This is clear evidence that Acosta has shirked his journalistic responsibility by murdering scores of Gotham citizens, and it’s even more outrageous given his track record of unhinged actions, including lighting a pile of money on fire with a cigar and robbing a bank at gunpoint with several masked accomplices. Banning Acosta from the press room is the only reasonable response for these clear lapses in judgment.” At press time, CNN had responded by holding a panel discussion featuring experts arguing over whether Sanders’ denial represented an effective strategy for the Trump administration."
Benefits Of Keeping A Journal,,,
Uber Driver Wants You To Know That Lots Of Mexicans Live In This Neighborhood,News In Photos,2018-11-08T11:31:00-06:00,Advertisement
Democrats Win House,American Voices,2018-11-07T13:49:00-06:00,"Democrats took back the House of Representatives in the 2018 midterm elections, providing a check on Republican policymaking and a rebuke to President Trump for the next two years. What do you think?"
"Anguished, Screaming Trump Bans Father’s Ghost From Press Room For Silently Pointing At Him",News in Brief,2018-11-08T13:10:00-06:00,"WASHINGTON—Forcefully closing his eyes, grasping his head with both hands, and repeatedly screaming to be left alone, a visibly anguished President Donald Trump was observed Thursday banning the ghost of his late father, Fred Trump, from the press room for silently pointing at him. “You will not stare and raise your finger at me like that, Father! I am the president of the United States no matter what you think! I make the rules now, and you mustn’t defy me!” said Trump, raking his fingers down his face and straining his voice until it cracked as he pointed to an empty corner of the room and commanded a group of baffled aides to remove his long-dead father. “This is a disgrace—there is no place in the White House for your judgment—get him out of here! And someone silence the voices, the thousands of voices. I can barely talk with their whispers filling my head, their laughter and whispers. Father, this is my house! Stop pointing at me!” White House maintenance staff said it would take at least a week to clean the walls of the West Wing hallway where Trump had scrawled the words “GO AWAY” hundreds of times in what seemed to be red paint."
"‘No Way To Prevent This,’ Says Only Nation Where This Regularly Happens",News in Brief,2018-11-08T09:44:00-06:00,"THOUSAND OAKS, CA—In the hours following a violent rampage in California in which a lone attacker killed 12 individuals, including a police officer, and seriously injured at least 12 others, citizens living in the only country where this kind of mass killing routinely occurs reportedly concluded Thursday that there was no way to prevent the massacre from taking place. “This was a terrible tragedy, but sometimes these things just happen and there’s nothing anyone can do to stop them,” said Kansas resident Carrie Grant, echoing sentiments expressed by tens of millions of individuals who reside in a nation where over half of the world’s deadliest mass shootings have occurred in the past 50 years and whose citizens are 20 times more likely to die of gun violence than those of other developed nations. “It’s a shame, but what can we do? There really wasn’t anything that was going to keep this individual from snapping and killing a lot of people if that’s what they really wanted.” At press time, residents of the only economically advanced nation in the world where roughly two mass shootings have occurred every month for the past eight years were referring to themselves and their situation as “helpless.”"
Sick Parent Offers Man Perfect Excuse To Move Back Home And Give Up Dreams,News in Brief,2018-11-08T11:02:00-06:00,"LOS ANGELES—In a move relieving his firstborn of the mounting stress associated with the pursuit of his life’s ambition, ailing father Gideon Albright selflessly offered his son, aspiring writer Julian, 27, the perfect excuse to move back home and give up on his dreams. “My father’s diagnosis was tangible proof that when you really need to relinquish control—and therefore responsibility—over what you’re doing with your life, the universe will deliver. This is exactly what I needed to finally stop struggling with my novel,” said Albright, expressing feelings of deep relief that he would be giving up his apartment for at least a year, and perhaps as many as three if his father’s condition stretched out for a cruel and heartbreakingly long time. “Now, whenever friends ask me how life is in the big city, I can say that for now, I just need to be there for the old man. This is exactly what I needed to hear after driving myself crazy with anxiety and self-doubt.” Julian said his first act upon moving home would be to thank his father for the opportunity while he could still recognize how much it meant."
Idris Elba Named Sexiest Man Alive,American Voices,2018-11-08T10:16:00-06:00,"People magazine named British actor Idris Elba the sexiest man alive, only the third time a person of color has won in the award’s 32-year history. What do you think?"
Nonprofit Places Burnouts In Jobs You Can Do Blitzed Out Of Your Mind,News in Brief,2018-11-07T13:26:00-06:00,"SANTA FE, NM—In an effort to provide habitually drug-addled community members with more and better legal opportunities for financial self-support, career placement nonprofit Pass It On has announced a new employment program that aims to place burnouts in jobs they can do while totally blitzed out of their minds. “We’re committed to assisting those who struggle with addiction by helping them find work you could easily do right after getting baked off your ass or crushing a rail of oxy,” said spokesperson Eileen Shreve at a press conference held to introduce the public to the locally focused nongovernmental organization’s careers page, which lists hundreds of jobs requiring no past experience operating heavy machinery or balancing spreadsheets. “By partnering with local businesses, we’ve staffed several hundred burnouts in positions that don’t require meeting production quotas, personal appearance standards, or hard deadlines of any kind. This is more than just a jobs program for us—we’re trying to bring real change to members of society who deserve to make a living while they’re stupendously blazed.” Shreve concluded her remarks with an anecdote concerning a Pass It On staffer who overdosed at work just this morning, opening up yet another job opportunity."
